1,10,,15135493200,50408465800,MILANO SPORTIVA A.S.D,SPORT,COMUNE DI MILANO,MILANO SPORTIVA A.S.D,0.0000,297384581,0,info@milanosportiva.it,www.csiseo.it,,VIA ISEO 10,1571 10,0.0000,2,1571,AFFORI,CONCESSIONE D'USO,NUOTO,NO,NO,NO,Non attribuito,1513549.32,5040846.58
2,2,,15148636000,50384664700,MURAT,SPORT,COMUNE DI MILANO,MILANO SPORT SPA,0.0000,2606732,260830119,,www.milanosport.it,,VIA DINO VILLANI 2,1756 2,0.0000,34,1756,MACIACHINI - MAGGIOLINA,SOCIETA' PARTECIPATA,NUOTO,NO,NO,NO,Non attribuito,1514863.6,5038466.47
3,20,,15125361800,50364770300,CENTRO SPORTIVO GIOVANNI DA PROCIDA,SPORT,COMUNE DI MILANO,MILANO SPORT SPA,46.180.000,233104970,234531118,,www.milanosport.it,,VIA GIOVANNI DA PROCIDA 20,7151 20,46.180.000,50,7151,PORTELLO,SOCIETA' PARTECIPATA,NUOTO,NO,NO,NO,Non attribuito,1512536.18,5036477.03
4,35,,15157593900,50362076400,ROBERTO COZZI,SPORT,COMUNE DI MILANO,MILANO SPORT SPA,0.0000,26599703,262345198,,www.milanosport.it,,VLE TUNISIA 35,2121 35,0.0000,12,2121,CENTRALE,SOCIETA' PARTECIPATA,NUOTO,NO,NO,NO,SI,1515759.39,5036207.64
5,35,,15157593900,50362076400,ROBERTO COZZI,SPORT,COMUNE DI MILANO,MILANO SPORT SPA,0.0000,26599703,262345198,,www.milanosport.it,,VLE TUNISIA 35,2121 35,0.0000,12,2121,CENTRALE,SOCIETA' PARTECIPATA,TUFFI,NO,NO,NO,Non attribuito,1515759.39,5036207.64
6,8,,15168624400,50365766900,MILANO SPORT SPA,SPORT,COMUNE DI MILANO,MILANO SPORT SPA,13.940.000,229400393,229536117,,www.milanosport.it,,VIA PICCINNI NICOLA 8,2236 8,13.940.000,11,2236,BUENOS AIRES - VENEZIA,SOCIETA' PARTECIPATA,PISCINA,NO,NO,NO,SI,1516862.44,5036576.69
7,9,,15087009000,50349796300,MILANO SPORT SPA,SPORT,COMUNE DI MILANO,MILANO SPORT SPA,77.530.000,24566316,248929182,,www.milanosport.it,,VIA ARIOLI VENEGONI 9,6835 9,77.530.000,21,6835,FORZE ARMATE,SOCIETA' PARTECIPATA,PISCINA,NO,NO,NO,SI,1508700.9,5034979.63
8,76,,15090246900,50374888100,FIN FEDERAZIONE ITALIANA NUOTO LAMPUGNANO,SPORT,COMUNE DI MILANO,FIN FEDERAZIONE ITALIANA NUOTO LAMPUGNANO,95.430.000,23088390,0,crlombardia@federnuoto.it,,,VIA LAMPUGNANO 76,6737 76,95.430.000,22,6737,GALLARATESE,CONCESSIONE D'USO,PISCINA,NO,NO,NO,Non attribuito,1509024.69,5037488.81
9,17,,15163045200,50384075000,MILANO SPORT SPA,SPORT,COMUNE DI MILANO,MILANO SPORT SPA,9.820.000,26706063,267078197,,www.milanosport.it,INSERITA IN COMPLESSO SCOLASTICO,VIA DE MARCHI EMILIO 17,1418 17,9.820.000,27,1418,GRECO,SOCIETA' PARTECIPATA,PISCINA,NO,NO,NO,SI,1516304.52,5038407.5
10,13,,15169303500,50318801900,MILANO SPORT SPA,SPORT,COMUNE DI MILANO,MILANO SPORT SPA,36.060.000,2538416,256810426,,www.milanosport.it,,VIA MINCIO 13,4157 13,36.060.000,31,4157,LODI - CORVETTO,SOCIETA' PARTECIPATA,PISCINA,NO,NO,NO,SI,1516930.35,5031880.19
