58A,TEL. 028222783,5097,1,SERVIZI SOCIALI,CENTRI SOCIALI E AGGREGATIVI,CENTRI AGGREGAZIONE GIOVANILE,,5097 58A,VLE PAPINIANO, 58A,. "PORTOFRANCO",PORTOFRANCO ASSOCIAZIONE PER L'AIUTO ALLO STUDIO,info@aiutoallostudio.org,166,620,786,SERVIZI PUBBLICI ESISTENTI,GIOVANI,1,1 - . "PORTOFRANCO" - VLE PAPINIANO, 58A
53,TEL. 022592104,2411,2,SERVIZI SOCIALI,CENTRI SOCIALI E AGGREGATIVI,CENTRI AGGREGAZIONE GIOVANILE,,2411 53,VIA TRASIMENO, 53,. "CATTABREGA",COMUNE DI MILANO,ACZ SettZona2CAGCattabrega/ComuneMI/IT,20,209,229,SERVIZI PUBBLICI ESISTENTI,GIOVANI,2,2 - . "CATTABREGA" - VIA TRASIMENO, 53
4,TEL. 022822359,2373,2,SERVIZI SOCIALI,CENTRI SOCIALI E AGGREGATIVI,CENTRI AGGREGAZIONE GIOVANILE,,2373 4,VIA TARABELLA ALDO, 4,. "TARABELLA",COMUNE DI MILANO,ACZ SettZona2CAGTarabella/ComuneMI/IT,20,44,64,SERVIZI PUBBLICI ESISTENTI,GIOVANI,3,3 - . "TARABELLA" - VIA TARABELLA ALDO, 4
7,TEL. 022578393,2354,2,SERVIZI SOCIALI,CENTRI SOCIALI E AGGREGATIVI,CENTRI AGGREGAZIONE GIOVANILE,,2354 7,VIA BECHI GIULIO, 7,CENTRO TEMPO PER L'INFANZIA,TEMPO PER L'INFANZIA COOPERATIVA SOCIALE,ctpi@tiscali.it,85,42,127,SERVIZI PUBBLICI ESISTENTI,GIOVANI,4,4 - CENTRO TEMPO PER L'INFANZIA - VIA BECHI GIULIO, 7
26,TEL. 0269001786,1407,2,SERVIZI SOCIALI,CENTRI SOCIALI E AGGREGATIVI,CENTRI AGGREGAZIONE GIOVANILE,,1407 26,VIA CAGLIERO GIOVANNI, 26,. "CIRCOLO ORPAS",CIRCOLO OR.PA.S.,oratorio@americisss.it,150,400,550,SERVIZI PUBBLICI ESISTENTI,GIOVANI,5,5 - . "CIRCOLO ORPAS" - VIA CAGLIERO GIOVANNI, 26
19,TEL. 0229510507,3133,3,SERVIZI SOCIALI,CENTRI SOCIALI E AGGREGATIVI,CENTRI AGGREGAZIONE GIOVANILE,,3133 19,VIA BIXIO NINO, 19,. "PUNTO E VIRGOLA",ASSOCIAZIONE NAZIONALE PER LA DIFESA DELLA FANCIULLEZZA E DELL'ADOLESCENZA ONLUS,puntevirgola@libero.it,25,168,193,SERVIZI PUBBLICI ESISTENTI,GIOVANI,6,6 - . "PUNTO E VIRGOLA" - VIA BIXIO NINO, 19
52,TEL. 0226300686,2397,3,SERVIZI SOCIALI,CENTRI SOCIALI E AGGREGATIVI,CENTRI AGGREGAZIONE GIOVANILE,,2397 52,VIA PUSIANO, 52,. "PADRE PIAMARTA",AFGP CENTRO PADRE PIAMARTA,piamarta@afgp.it,110,257,367,SERVIZI PUBBLICI ESISTENTI,GIOVANI,7,7 - . "PADRE PIAMARTA" - VIA PUSIANO, 52
26,TEL. 025060477,3344,4,SERVIZI SOCIALI,CENTRI SOCIALI E AGGREGATIVI,CENTRI AGGREGAZIONE GIOVANILE,,3344 26,VIA PAREA CARLO, 26, "PAREA",COMUNE DI MILANO,ACZ SettZona4/ComuneMI/IT,30,74,104,SERVIZI PUBBLICI ESISTENTI,GIOVANI,8,8 -  "PAREA" - VIA PAREA CARLO, 26
23,TEL. 0258014275,3325,4,SERVIZI SOCIALI,CENTRI SOCIALI E AGGREGATIVI,CENTRI AGGREGAZIONE GIOVANILE,,3325 23,VIA SALOMONE ORESTE, 23, "TEMPO E POI",LA STRADA SOCIETA' COOPERATIVA SOCIALE,info@lastrada.it,0,413,413,SERVIZI PUBBLICI ESISTENTI,GIOVANI,9,9 -  "TEMPO E POI" - VIA SALOMONE ORESTE, 23
12,TEL. 0255212462,4183,4,SERVIZI SOCIALI,CENTRI SOCIALI E AGGREGATIVI,CENTRI AGGREGAZIONE GIOVANILE,,4183 12,VIA MARTINENGO FRANCESCO, 12, "ICARO",ASSOCIAZIONE L'IMMAGINE,immagine@tiscali.it,110,78,188,SERVIZI PUBBLICI ESISTENTI,GIOVANI,10,10 -  "ICARO" - VIA MARTINENGO FRANCESCO, 12
