541,95,,1514202.19347,5033538.97552,MUSEO DIOCESANO,CULTURA,MUSEI,MUSEI PRIVATI,SERVIZI PRIVATI ESISTENTI,,PRIVATA,,,IN ESERCIZIO,0289404714,0289407577,INFO@MUSEODIOCESANO.IT,WWW.MUSEODIOCESANO.IT,CIVICO POSIZIONATO D'UFFICIO,CSO PORTA TICINESE 95,541 95,1,1
604,61,,1513492.16899,5034711.566,FONDAZIONE DELLE STELLINE,CULTURA,MUSEI,ISTITUTI CULTURALI E MONUMENTI,SERVIZI PRIVATI ESISTENTI,,PRIVATA,,,IN ESERCIZIO,0245462411,0245462432,FONDAZIONE@STELLINE.IT,WWW.STELLINE.IT,,CSO MAGENTA 61,604 61,1,2
604,61,,1513492.16899,5034711.566,GALLERIA DEL CREDITO VALTELLINESE,CULTURA,SEDI ESPOSITIVE,SEDI ESPOSITIVE,SERVIZI PRIVATI ESISTENTI,,PRIVATA,,,IN ESERCIZIO,0243353522,,,,,CSO MAGENTA 61,604 61,1,3
604,24,,1513959.08,5034741.28802,PALAZZO LITTA,CULTURA,SEDI ESPOSITIVE,SEDI ESPOSITIVE,SERVIZI PUBBLICI ESISTENTI,STATO,PUBBLICA,,,IN ESERCIZIO,028690696,,,,,CSO MAGENTA 24,604 24,1,4
238,57,,1515955.93939,5035607.18939,PLANETARIO HOEPLI,CULTURA,MUSEI,ISTITUTI CULTURALI E MONUMENTI,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,COMUNE DI MILANO,GESTIONE DIRETTA,IN ESERCIZIO,0288463340,,,WWW.COMUNE.MILANO.IT,,CSO VENEZIA 57,238 57,1,5
238,55,,1515857.01882,5035498.88949,MUSEO DI STORIA NATURALE,CULTURA,MUSEI,MUSEI,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,COMUNE DI MILANO,GESTIONE DIRETTA,IN ESERCIZIO,0288463280,,,WWW.COMUNE.MILANO.IT,,CSO VENEZIA 55,238 55,1,6
711,50,,1514278.08521,5035370.07691,FONDAZIONE ANTONIO MAZZOTTA,CULTURA,SEDI ESPOSITIVE,SEDI ESPOSITIVE,SERVIZI PRIVATI ESISTENTI,,,,,IN ESERCIZIO,028055803,028693046,,WWW.MAZZOTTA.IT,,FOR BUONAPARTE 50,711 50,1,7
711,67,,1514166.69401,5034961.67,FONDAZIONE LUCIANA MATALON MUSEO-GALLERIA D'ARTE,CULTURA,MUSEI,MUSEI,SERVIZI PRIVATI ESISTENTI,,,,,IN ESERCIZIO,02878781,027000526236,FINEART@FONDAZIONEMATALON.ORG,WWW.FONDAZIONEMATALON.ORG,,FOR BUONAPARTE 67,711 67,1,8
5208,1,,1514380.39001,5032912.95201,SPAZIO FORMA-CENTRO INTERNAZIONALE DI FOTOGRAFIA,CULTURA,SEDI ESPOSITIVE,SEDI ESPOSITIVE,SERVIZI PRIVATI ESISTENTI,,PRIVATA,,,IN ESERCIZIO,0258118067,,INFO@FORMAFOTO.IT,WWW.FORMAFOTO.IT,,PZA CARO TITO LUCREZIO 1,5208 1,5,9
113,2,,1514788.00041,5034898.8381,MUSEO TEATRALE ALLA SCALA,CULTURA,MUSEI,MUSEI,SERVIZI PUBBLICI ESISTENTI,,,,,IN ESERCIZIO,024691249,,MUSEOTEATRALE@TEATROALLASCALA.ORG,WWW.TEATROALLASCALA.ORG,ENTRATA DA LARGO GHIRINGHELLI 1,VIA FILODRAMMATICI 2,113 2,1,10
